,leiden
WASP0004337,4
WASP0004338,4
WASP0004339,2
WASP0004340,11
WASP0004341,12
WASP0004343,4
WASP0004345,15
WASP0004346,1
WASP0004348,13
WASP0004349,4
WASP0004350,4
WASP0004353,8
WASP0004356,8
WASP0004357,1
WASP0004361,3
WASP0004362,1
WASP0004364,7
WASP0004365,11
WASP0004366,10
WASP0004367,8
WASP0004370,0
WASP0004373,6
WASP0004375,12
WASP0004379,3
WASP0004380,0
WASP0004381,8
WASP0004383,8
WASP0005002,10
WASP0005005,0
WASP0005006,8
WASP0005007,5
WASP0005009,2
WASP0005018,1
WASP0005020,7
WASP0005024,7
WASP0005025,7
WASP0005030,10
WASP0005032,1
WASP0005034,1
WASP0005035,0
WASP0005036,0
WASP0005041,0
WASP0005046,0
WASP0005048,10
WASP0005049,1
WASP0005056,0
WASP0005058,0
WASP0005064,0
WASP0005066,3
WASP0005069,7
WASP0005070,10
WASP0005080,9
WASP0005082,1
WASP0005083,3
WASP0005084,0
WASP0005089,12
WASP0005091,0
WASP0005093,2
WASP0005099,2
WASP0005100,10
WASP0005102,12
WASP0005103,0
WASP0005106,7
WASP0005110,0
WASP0005111,10
WASP0005116,7
WASP0005117,5
WASP0005118,0
WASP0005119,14
WASP0005120,2
WASP0005123,1
WASP0005124,4
WASP0005126,17
WASP0005127,8
WASP0005132,5
WASP0005134,2
WASP0005136,0
WASP0005139,2
WASP0005145,6
WASP0005151,15
WASP0005152,12
WASP0005154,0
WASP0005158,2
WASP0005164,9
WASP0005168,0
WASP0005175,4
WASP0005177,0
WASP0005179,0
WASP0005182,0
WASP0005191,0
WASP0005192,1
WASP0005193,0
WASP0005194,11
WASP0005198,8
WASP0005199,0
WASP0005200,1
WASP0005202,1
WASP0005208,1
WASP0005209,2
WASP0005215,2
WASP0005217,1
WASP0005220,2
WASP0005222,2
WASP0005224,7
WASP0005231,0
WASP0005233,5
WASP0005236,1
WASP0005238,2
WASP0005240,6
WASP0005246,7
WASP0005255,3
WASP0005256,0
WASP0005258,0
WASP0005259,21
WASP0005260,4
WASP0005271,7
WASP0005276,7
WASP0005277,7
WASP0005283,2
WASP0005284,1
WASP0005287,6
WASP0005291,4
WASP0005292,2
WASP0005293,17
WASP0005295,12
WASP0005297,1
WASP0005299,8
WASP0005304,1
WASP0005312,0
WASP0005318,2
WASP0005320,3
WASP0005324,1
WASP0005331,15
WASP0005334,0
WASP0005335,1
WASP0005338,21
WASP0005339,0
WASP0005340,3
WASP0005342,4
WASP0005346,10
WASP0005356,8
WASP0005375,21
WASP0005383,1
WASP0005384,3
WASP0006002,2
WASP0006007,16
WASP0006011,2
WASP0006012,0
WASP0006013,15
WASP0006014,4
WASP0006015,2
WASP0006017,0
WASP0006021,15
WASP0006023,2
WASP0006024,0
WASP0006028,5
WASP0006029,7
WASP0006030,8
WASP0006031,0
WASP0006036,15
WASP0006037,5
WASP0006038,15
WASP0006039,8
WASP0006040,0
WASP0006041,0
WASP0006053,0
WASP0006061,8
WASP0006064,2
WASP0006070,2
WASP0006072,9
WASP0006074,2
WASP0006077,4
WASP0006081,4
WASP0006089,13
WASP0006091,1
WASP0006097,2
WASP0006098,2
WASP0006099,1
WASP0006100,1
WASP0006101,10
WASP0006103,1
WASP0006104,13
WASP0006106,8
WASP0006108,7
WASP0006109,11
WASP0006110,7
WASP0006111,0
WASP0006113,10
WASP0006115,1
WASP0006116,8
WASP0006118,2
WASP0006120,2
WASP0006121,2
WASP0006123,1
WASP0006126,12
WASP0006127,7
WASP0006128,3
WASP0006129,8
WASP0006130,2
WASP0006132,0
WASP0006136,2
WASP0006137,14
WASP0006139,0
WASP0006140,2
WASP0006142,2
WASP0006143,2
WASP0006144,17
WASP0006149,0
WASP0006152,0
WASP0006153,0
WASP0006155,1
WASP0006158,11
WASP0006160,8
WASP0006164,1
WASP0006166,5
WASP0006167,9
WASP0006168,0
WASP0006169,7
WASP0006173,7
WASP0006178,0
WASP0006182,0
WASP0006184,2
WASP0006188,2
WASP0006190,14
WASP0006192,8
WASP0006196,0
WASP0006199,13
WASP0006204,2
WASP0006222,2
WASP0006223,7
WASP0006236,2
WASP0006239,2
WASP0006245,2
WASP0006247,8
WASP0006248,7
WASP0006252,2
WASP0006263,0
WASP0006270,2
WASP0006290,0
WASP0006293,5
WASP0006294,15
WASP0006295,15
WASP0006298,4
WASP0006300,1
WASP0006302,4
WASP0006307,0
WASP0006312,0
WASP0006314,2
WASP0006315,7
WASP0006317,2
WASP0006318,7
WASP0006319,4
WASP0006320,1
WASP0006323,2
WASP0006328,12
WASP0006333,0
WASP0006335,1
WASP0006336,2
WASP0006338,2
WASP0006341,2
WASP0006346,2
WASP0006347,5
WASP0006351,16
WASP0006352,0
WASP0006354,2
WASP0006357,14
WASP0006358,8
WASP0006361,2
WASP0006363,7
WASP0006364,12
WASP0006366,7
WASP0006368,8
WASP0006371,8
WASP0006376,2
WASP0006381,8
WASP0007001,0
WASP0007002,3
WASP0007004,17
WASP0007008,0
WASP0007011,7
WASP0007014,21
WASP0007015,1
WASP0007016,6
WASP0007017,0
WASP0007018,3
WASP0007019,1
WASP0007021,0
WASP0007022,10
WASP0007023,7
WASP0007028,0
WASP0007029,10
WASP0007032,4
WASP0007038,3
WASP0007040,10
WASP0007042,7
WASP0007043,0
WASP0007048,10
WASP0007050,7
WASP0007051,7
WASP0007052,1
WASP0007053,6
WASP0007056,12
WASP0007057,0
WASP0007064,2
WASP0007069,5
WASP0007076,0
WASP0007077,2
WASP0007082,1
WASP0007086,0
WASP0007089,2
WASP0007090,0
WASP0007092,2
WASP0007093,21
WASP0007094,3
WASP0007098,6
WASP0007102,12
WASP0007104,0
WASP0007107,2
WASP0007108,13
WASP0007109,8
WASP0007110,1
WASP0007111,0
WASP0007112,0
WASP0007113,1
WASP0007114,8
WASP0007115,6
WASP0007116,12
WASP0007118,6
WASP0007119,3
WASP0007125,2
WASP0007132,0
WASP0007134,6
WASP0007136,0
WASP0007137,4
WASP0007138,1
WASP0007139,7
WASP0007142,3
WASP0007144,6
WASP0007145,0
WASP0007146,4
WASP0007150,1
WASP0007151,16
WASP0007152,7
WASP0007154,6
WASP0007155,5
WASP0007158,0
WASP0007161,1
WASP0007162,0
WASP0007165,0
WASP0007167,7
WASP0007170,8
WASP0007174,4
WASP0007179,6
WASP0007182,1
WASP0007183,6
WASP0007185,1
WASP0007186,1
WASP0007187,6
WASP0007191,7
WASP0007192,8
WASP0007195,10
WASP0007197,15
WASP0007200,5
WASP0007202,1
WASP0007203,2
WASP0007205,0
WASP0007207,8
WASP0007209,17
WASP0007211,3
WASP0007212,3
WASP0007213,12
WASP0007214,1
WASP0007215,6
WASP0007217,2
WASP0007218,1
WASP0007219,6
WASP0007220,1
WASP0007223,7
WASP0007225,1
WASP0007227,0
WASP0007230,16
WASP0007231,5
WASP0007232,6
WASP0007233,2
WASP0007234,4
WASP0007237,6
WASP0007244,2
WASP0007245,0
WASP0007246,1
WASP0007247,6
WASP0007250,5
WASP0007251,15
WASP0007252,5
WASP0007253,2
WASP0007257,1
WASP0007259,6
WASP0007260,18
WASP0007261,6
WASP0007262,0
WASP0007264,0
WASP0007268,1
WASP0007269,2
WASP0007278,6
WASP0007279,0
WASP0007280,1
WASP0007282,8
WASP0007283,0
WASP0007284,15
WASP0007290,6
WASP0007291,6
WASP0007292,3
WASP0007293,9
WASP0007295,1
WASP0007302,4
WASP0007303,1
WASP0007304,3
WASP0007306,11
WASP0007307,18
WASP0007308,7
WASP0007311,6
WASP0007314,3
WASP0007315,12
WASP0007316,1
WASP0007319,4
WASP0007320,11
WASP0007321,2
WASP0007322,1
WASP0007323,0
WASP0007325,6
WASP0007326,3
WASP0007327,0
WASP0007328,0
WASP0007329,5
WASP0007330,1
WASP0007331,1
WASP0007332,1
WASP0007333,2
WASP0007334,0
WASP0007336,0
WASP0007337,0
WASP0007338,6
WASP0007339,2
WASP0007342,17
WASP0007343,0
WASP0007345,15
WASP0007348,4
WASP0007350,3
WASP0007351,11
WASP0007354,1
WASP0007356,5
WASP0007357,6
WASP0007360,10
WASP0007361,3
WASP0007364,3
WASP0007366,0
WASP0007368,2
WASP0007372,6
WASP0007373,7
WASP0007376,2
WASP0007377,1
WASP0007378,1
WASP0007379,9
WASP0007380,1
WASP0007381,0
WASP0007382,20
WASP0007383,9
WASP0008003,4
WASP0008004,0
WASP0008006,4
WASP0008007,3
WASP0008008,7
WASP0008009,1
WASP0008015,11
WASP0008017,7
WASP0008021,15
WASP0008022,2
WASP0008023,1
WASP0008025,6
WASP0008029,1
WASP0008030,4
WASP0008031,1
WASP0008032,16
WASP0008034,1
WASP0008035,1
